Slno,Data Center Name,Company Name,URL to Website,Address,Postal,City,Market,State,Country,Power (MW),Tier Design,Whitespace
29,Medha Hosting Data Center,Medha Cloud,https://www.medhacloud.com,"1003 GF1, 15th Cross & 16th Main, BTM 2nd Stage,560076 Bangalore,India",560076,Bengaluru,Bangalore,Karnataka,India,Not Specified,Not Specified,Not Specified
30,Micronova Data Center,Micronova Infotex Pvt Ltd,https://www.micronova.in/,"#17, Bull Temple Road,560004 Bangalore,Karnataka, India",560004 ,Bengaluru,Bangalore,Karnataka,India,Not Specified,Tier 3,Not Specified
31,Nivid Data Center,Nivid Technologies India Pvt Ltd,https://nividtele.com/,"Oceana Chambers, 757/11, 13th Cross, Krishna Rajendra Rd, 7th Block,3rd floor,560082 Bangalore,Karnataka, India",560082,Banagalore,Bangalore,Karnataka,India,Not Specified,Not Specified,Not Specified
32,NxtGen HDDC,NxtGen Datacenter and Cloud Technologies,https://nxtgen.com/,"Plot No- 25, P-13, Bidadi Industrial Area,562109 Bidadi,Karnataka, India",562109 ,Bidadi,Bangalore,Karnataka,India,20,Not Specified,"12,500 sq. m."
33,Nxtra Bengaluru I,Nxtra by Airtel,https://www.nxtra.in/,"Plot 111 & 112, EPIP 5 Bharti Airtel Limited, Rd Number 7,560066 Whitefield, India",560066,Whitefield,Bangalore,Karnataka,India,5.5,Not Specified,Not Specified
34,Nxtra Bengaluru II,Nxtra by Airtel,https://www.nxtra.in/,"within Bengaluru,560066 Bengaluru,India",560066,Banagalore,Bangalore,Karnataka,India,40,Not Specified,"41,806 sq. m."
35,Reliance IDC Bengaluru #1,Reliance Data Center,https://www.relianceidc.com/,"49, Race Course Rd,560001 Bengaluru,Karnataka, India",560001 ,Bengaluru,Bangalore,Karnataka,India,Not Specified,Not Specified,Not Specified
36,Reliance IDC Bengaluru #2,Reliance Data Center,https://www.relianceidc.com/,"Pipeline Rd,560022 Bengaluru,Karnataka, India",560022,Bengaluru,Bangalore,Karnataka,India,Not Specified,Not Specified,Not Specified
37,Reliance IDC Bengaluru #3,Reliance Data Center,https://www.relianceidc.com/,"16, Whitefield Main Road,Sadaramangala Industrial Area,560048 Bengaluru,Karnataka, India",560048 ,Bengaluru,Bangalore,Karnataka,India,Not Specified,Not Specified,Not Specified
38,Renaissance Data Center,Renaissance Technologies,https://www.renaissanceind.com/,"5AC-952, Ist Block HRBR Outer Ring Road,560043 Banaswadi,Karnataka, India",560043 ,Banaswadi,Bangalore,Karnataka,India,Not Specified,Not Specified,Not Specified
39,STT Bengaluru DC 1,STT GDC India,https://www.sttelemediagdc.com/,"Videsh Sanchar Bhavan, No. 2 , Keb Layout,560094 Geddalahalli,Karnataka, India",560094,Geddalahalli,Bangalore,Karnataka,India,1.25,Not Specified,"20,000 sq. ft."
40,STT Bengaluru DC 2,STT GDC India,https://www.sttelemediagdc.com/,"Plot No. 18-19-20, Epip Layout, KIADB,560066 Whitefield,Karnataka, India",560066 ,Whitefield,Bangalore,Karnataka,India,7,Not Specified,"100,000 sq. ft."
